plot,spec,hits
D1SF,Andpol,28
D1SF,Arcalp,4
D1SF,Astalp,0
D1SF,Baralp,7
D1SF,Betnan,72
D1SF,Bisviv,16
D1SF,Callap,0
D1SF,Carbig,2
D1SF,Carcap,29
D1SF,Cardio,17
D1SF,Carnig,0
D1SF,Carrup,76
D1SF,Carvag,24
D1SF,Castet,2
D1SF,Dessp.,0
D1SF,Dialap,2
D1SF,Dryoct,0
D1SF,Empnig,62
D1SF,Equpra,1
D1SF,Equsci,9
D1SF,Erilat,0
D1SF,Erivag,0
D1SF,Eupfri,0
D1SF,Fesovi,0
D1SF,Hupsel,3
D1SF,Juntri,0
D1SF,Linbor,0
D1SF,Loipro,0
D1SF,Luzspi,0
D1SF,Pedlap,0
D1SF,Pinvul,0
D1SF,Pyrsp.,0
D1SF,Rholap,0
D1SF,Rubcha,0
D1SF,Salmyr,0
D1SF,Salgla,13
D1SF,Salret,0
D1SF,Saualp,0
D1SF,Silaca,23
D1SF,Thaalp,0
D1SF,Tofpus,48
D1SF,Trices,245
D1SF,Vacmic,0
D1SF,Vaculi,98
D1SF,Vacvit,1
D1C,Andpol,115
D1C,Arcalp,0
D1C,Astalp,0
D1C,Baralp,7
D1C,Betnan,55
D1C,Bisviv,9
D1C,Callap,0
D1C,Carbig,0
D1C,Carcap,53
D1C,Cardio,66
D1C,Carnig,41
D1C,Carrup,33
D1C,Carvag,34
D1C,Castet,0
D1C,Dessp.,0
D1C,Dialap,0
D1C,Dryoct,0
D1C,Empnig,139
D1C,Equpra,29
D1C,Equsci,2
D1C,Erilat,1
D1C,Erivag,0
D1C,Eupfri,0
D1C,Fesovi,0
D1C,Hupsel,0
D1C,Juntri,0
D1C,Linbor,0
D1C,Loipro,0
D1C,Luzspi,0
D1C,Pedlap,0
D1C,Pinvul,1
D1C,Pyrsp.,0
D1C,Rholap,0
D1C,Rubcha,0
D1C,Salmyr,0
D1C,Salgla,32
D1C,Salret,0
D1C,Saualp,0
D1C,Silaca,0
D1C,Thaalp,0
D1C,Tofpus,80
D1C,Trices,104
D1C,Vacmic,1
D1C,Vaculi,35
D1C,Vacvit,5
D2SF,Andpol,22
D2SF,Arcalp,4
D2SF,Astalp,0
D2SF,Baralp,7
D2SF,Betnan,24
D2SF,Bisviv,10
D2SF,Callap,0
D2SF,Carbig,3
D2SF,Carcap,61
D2SF,Cardio,64
D2SF,Carnig,1
D2SF,Carrup,138
D2SF,Carvag,5
D2SF,Castet,0
D2SF,Dessp.,0
D2SF,Dialap,0
D2SF,Dryoct,3
D2SF,Empnig,16
D2SF,Equpra,0
D2SF,Equsci,37
D2SF,Erilat,0
D2SF,Erivag,0
D2SF,Eupfri,0
D2SF,Fesovi,0
D2SF,Hupsel,1
D2SF,Juntri,0
D2SF,Linbor,0
D2SF,Loipro,0
D2SF,Luzspi,0
D2SF,Pedlap,2
D2SF,Pinvul,3
D2SF,Pyrsp.,0
D2SF,Rholap,11
D2SF,Rubcha,0
D2SF,Salmyr,22
D2SF,Salgla,0
D2SF,Salret,0
D2SF,Saualp,0
D2SF,Silaca,35
D2SF,Thaalp,0
D2SF,Tofpus,116
D2SF,Trices,265
D2SF,Vacmic,0
D2SF,Vaculi,46
D2SF,Vacvit,0
D2C,Andpol,48
D2C,Arcalp,0
D2C,Astalp,0
D2C,Baralp,2
D2C,Betnan,33
D2C,Bisviv,6
D2C,Callap,0
D2C,Carbig,3
D2C,Carcap,80
D2C,Cardio,43
