spec,species,genus,family,group
Andpol,Andromeda polifolia,Andromeda,Ericaceae,dS
Arcalp,Arctostaphylos alpinus,Arctostaphylos,Ericaceae,dS
Astalp,Astragalus alpinus,Astragalus,Fabaceae,F
Baralp,Bartia alpina,Bartia,Orobanchaceae,F
Betnan,Betula nana,Betula,Betulaceae,dS
Betnanxpub,Betula nana x pubescens,Betula,Betulaceae,dS
Bisviv,Bistorta vivipara,Bistorta,Polygonaceae,F
Callap,Calamagrostis lapponicum,Calamagrostis,Poaceae,G
Carsp.,Carex sp.,Carex,Cyperaceae,G
Carbig,Carex bigelowii,Carex,Cyperaceae,G
Carcap,Carex capillaris,Carex,Cyperaceae,G
Cardio,Carex dioica,Carex,Cyperaceae,G
Carvag,Carex vaginatum,Carex,Cyperaceae,G
Castet,Cassiope tetragona,Cassiope,Ericaceae,eS
Dessp.,Deschampsia sp.,Deschampsia,Poaceae,G
Dialap,Diapensia lapponica,Diapensia,Diapensiaceae,eS
Dryoct,Dryas octopetala,Dryas,Rosaceae,dS
Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS
Equarv,Equisetum arvense,Equisetum,Equisetaceae,F
Equpra,Equisetum pratense,Equisetum,Equisetaceae,F
Equsci,Equisetum scirpoides,Equisetum,Equisetaceae,F
Erivag,Eriophorum vaginatum,Eriophorum,Cyperaceae,G
Eupfri,Euphrasia frigida,Euphrasia,Orobanchaceae,F
Fesovi,Festuca ovina,Festuca,Poaceae,G
Hupsel,Huperzea selago,Huperzea,Lycopodiaceae,eS
Juntri,Juncus trifidus,Juncus,Juncaceae,G
Linbor,Linnaea borealis,Linnaea,Caprifoliaceae,F
Loipro,Loiseleuria procumbens,Loiseleuria,Ericaceae,eS
Pedlap,Pedicularis lapponicum,Pedicularis,Orobanchaceae,F
Phycae,Phylodoce caerulea,Phylodoce,Ericaceae,eS
Pinvil,Pinguicula villosa,Pinguicula,Lentibulariaceae,F
Pinvul,Pinguicula vulgaris,Pinguicula,Lentibulariaceae,F
Pyrsp.,Pyrola sp.,Pyrola,Ericaceae,F
Rholap,Rhododendron lapponicum,Rhododendron,Ericaceae,dS
Rubcha,Rubus chamaemorus,Rubus,Rosaceae,F
Salarb,Salix arbuscula,Salix,Salicaceae,dS
Salgla,Salix glauca,Salix,Salicaceae,dS
Sallap,Salix lapponum,Salix,Salicaceae,dS
Salret,Salix reticulata,Salix,Salicaceae,dS
Saualp,Saussurea alpina,Saussurea,Asteraceae,F
Silaca,Silene acaulis,Silene,Caryophyllaceae,F
Thaalp,Thalictrum alpinum,Thalictrum,Ranunculaceae,F
Tofpus,Tofielda pusilla,Tofielda,Tofieldiaceae,F
Trices,Trichophorum cespitosum,Trichophorum,Cyperaceae,G
Vacmic,Vaccinium microcarpum,Vaccinium,Ericaceae,dS
Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS
Vacvit,Vaccinium vitis-idaea,Vaccinium,Ericaceae,eS
Vasplaunk,Vascular plant unknown,Vascular,,F
