plot,spec,hits
D1SF,Andpol,73
D1C,Andpol,124
D2SF,Andpol,34
D2C,Andpol,64
D3SF,Andpol,64
D3C,Andpol,47
D4SF,Andpol,13
D4C,Andpol,105
D5SF,Andpol,25
D5C,Andpol,77
E1SF,Andpol,0
E1C,Andpol,0
E2SF,Andpol,35
E2C,Andpol,2
E3SF,Andpol,0
E3C,Andpol,24
E4SF,Andpol,0
E4C,Andpol,157
E5SF,Andpol,6
E5C,Andpol,0
X1SF,Andpol,0
X1C,Andpol,0
X2SF,Andpol,0
X2C,Andpol,0
X3SF,Andpol,0
X3C,Andpol,0
X4SF,Andpol,0
X4C,Andpol,0
X5SF,Andpol,0
X5C,Andpol,0
D1SF,Arcalp,8
D1C,Arcalp,0
D2SF,Arcalp,5
D2C,Arcalp,0
D3SF,Arcalp,0
D3C,Arcalp,0
D4SF,Arcalp,2
D4C,Arcalp,3
D5SF,Arcalp,1
D5C,Arcalp,5
E1SF,Arcalp,3
E1C,Arcalp,36
E2SF,Arcalp,9
E2C,Arcalp,14
E3SF,Arcalp,8
E3C,Arcalp,0
E4SF,Arcalp,30
E4C,Arcalp,23
E5SF,Arcalp,0
E5C,Arcalp,6
X1SF,Arcalp,0
X1C,Arcalp,2
X2SF,Arcalp,0
X2C,Arcalp,0
X3SF,Arcalp,0
X3C,Arcalp,0
X4SF,Arcalp,5
X4C,Arcalp,2
X5SF,Arcalp,0
X5C,Arcalp,0
D1SF,Astalp,0
D1C,Astalp,0
D2SF,Astalp,0
D2C,Astalp,0
D3SF,Astalp,0
D3C,Astalp,0
D4SF,Astalp,0
D4C,Astalp,0
D5SF,Astalp,42
D5C,Astalp,5
E1SF,Astalp,32
E1C,Astalp,3
E2SF,Astalp,0
E2C,Astalp,0
E3SF,Astalp,0
E3C,Astalp,0
E4SF,Astalp,16
E4C,Astalp,86
E5SF,Astalp,0
E5C,Astalp,0
X1SF,Astalp,0
X1C,Astalp,0
X2SF,Astalp,0
X2C,Astalp,0
X3SF,Astalp,0
X3C,Astalp,0
X4SF,Astalp,0
X4C,Astalp,1
X5SF,Astalp,0
X5C,Astalp,0
D1SF,Baralp,22
D1C,Baralp,15
D2SF,Baralp,9
D2C,Baralp,4
D3SF,Baralp,3
D3C,Baralp,5
D4SF,Baralp,2
D4C,Baralp,3
D5SF,Baralp,10
D5C,Baralp,3
E1SF,Baralp,0
E1C,Baralp,0
E2SF,Baralp,0
E2C,Baralp,0
E3SF,Baralp,0
E3C,Baralp,0
E4SF,Baralp,0
E4C,Baralp,0
E5SF,Baralp,0
E5C,Baralp,0
X1SF,Baralp,0
X1C,Baralp,0
X2SF,Baralp,0
X2C,Baralp,0
X3SF,Baralp,0
X3C,Baralp,0
X4SF,Baralp,0
X4C,Baralp,0
X5SF,Baralp,0
X5C,Baralp,0
D1SF,Betnan,61
D1C,Betnan,67
D2SF,Betnan,46
D2C,Betnan,38
D3SF,Betnan,28
D3C,Betnan,23
D4SF,Betnan,5
D4C,Betnan,48
D5SF,Betnan,89
D5C,Betnan,33
E1SF,Betnan,203
E1C,Betnan,66
E2SF,Betnan,119
E2C,Betnan,68
E3SF,Betnan,125
E3C,Betnan,45
E4SF,Betnan,213
E4C,Betnan,78
E5SF,Betnan,62
E5C,Betnan,90
X1SF,Betnan,95
X1C,Betnan,30
X2SF,Betnan,41
X2C,Betnan,5
X3SF,Betnan,35
X3C,Betnan,10
X4SF,Betnan,49
X4C,Betnan,28
X5SF,Betnan,34
X5C,Betnan,3
D1SF,Betnanxpub,1
D1C,Betnanxpub,0
D2SF,Betnanxpub,0
D2C,Betnanxpub,0
D3SF,Betnanxpub,0
D3C,Betnanxpub,0
D4SF,Betnanxpub,2
D4C,Betnanxpub,0
D5SF,Betnanxpub,0
D5C,Betnanxpub,0
E1SF,Betnanxpub,3
E1C,Betnanxpub,0
E2SF,Betnanxpub,0
E2C,Betnanxpub,0
E3SF,Betnanxpub,0
E3C,Betnanxpub,0
E4SF,Betnanxpub,0
E4C,Betnanxpub,0
E5SF,Betnanxpub,0
E5C,Betnanxpub,0
X1SF,Betnanxpub,0
X1C,Betnanxpub,0
X2SF,Betnanxpub,0
X2C,Betnanxpub,0
X3SF,Betnanxpub,0
X3C,Betnanxpub,0
X4SF,Betnanxpub,0
X4C,Betnanxpub,0
X5SF,Betnanxpub,0
X5C,Betnanxpub,0
D1SF,Bisviv,4
D1C,Bisviv,13
D2SF,Bisviv,14
D2C,Bisviv,12
D3SF,Bisviv,28
D3C,Bisviv,8
D4SF,Bisviv,3
D4C,Bisviv,32
D5SF,Bisviv,67
D5C,Bisviv,63
E1SF,Bisviv,0
E1C,Bisviv,2
E2SF,Bisviv,0
E2C,Bisviv,0
E3SF,Bisviv,0
E3C,Bisviv,0
E4SF,Bisviv,6
E4C,Bisviv,2
E5SF,Bisviv,0
E5C,Bisviv,0
X1SF,Bisviv,0
X1C,Bisviv,0
X2SF,Bisviv,0
X2C,Bisviv,0
X3SF,Bisviv,0
X3C,Bisviv,0
X4SF,Bisviv,0
X4C,Bisviv,0
X5SF,Bisviv,0
X5C,Bisviv,0
D1SF,Callap,0
D1C,Callap,0
D2SF,Callap,0
D2C,Callap,0
D3SF,Callap,0
D3C,Callap,0
D4SF,Callap,0
D4C,Callap,0
D5SF,Callap,0
D5C,Callap,0
E1SF,Callap,9
E1C,Callap,2
E2SF,Callap,29
E2C,Callap,48
E3SF,Callap,33
E3C,Callap,11
E4SF,Callap,143
E4C,Callap,18
E5SF,Callap,34
E5C,Callap,95
X1SF,Callap,0
X1C,Callap,0
X2SF,Callap,0
X2C,Callap,0
X3SF,Callap,0
X3C,Callap,0
X4SF,Callap,0
X4C,Callap,0
X5SF,Callap,0
X5C,Callap,0
D1SF,Carsp.,4
D1C,Carsp.,0
D2SF,Carsp.,1
D2C,Carsp.,0
D3SF,Carsp.,11
D3C,Carsp.,9
D4SF,Carsp.,3
D4C,Carsp.,1
D5SF,Carsp.,0
D5C,Carsp.,0
E1SF,Carsp.,0
E1C,Carsp.,0
E2SF,Carsp.,0
E2C,Carsp.,0
E3SF,Carsp.,0
E3C,Carsp.,0
E4SF,Carsp.,0
