plot,species,hits
D1SF,Andromeda polifolia,73
D1C,Andromeda polifolia,124
D2SF,Andromeda polifolia,34
D2C,Andromeda polifolia,64
D3SF,Andromeda polifolia,64
D3C,Andromeda polifolia,47
D4SF,Andromeda polifolia,13
D4C,Andromeda polifolia,105
D5SF,Andromeda polifolia,25
D5C,Andromeda polifolia,77
E1SF,Andromeda polifolia,0
E1C,Andromeda polifolia,0
E2SF,Andromeda polifolia,35
E2C,Andromeda polifolia,2
E3SF,Andromeda polifolia,0
E3C,Andromeda polifolia,24
E4SF,Andromeda polifolia,0
E4C,Andromeda polifolia,157
E5SF,Andromeda polifolia,6
E5C,Andromeda polifolia,0
X1SF,Andromeda polifolia,0
X1C,Andromeda polifolia,0
X2SF,Andromeda polifolia,0
X2C,Andromeda polifolia,0
X3SF,Andromeda polifolia,0
X3C,Andromeda polifolia,0
X4SF,Andromeda polifolia,0
X4C,Andromeda polifolia,0
X5SF,Andromeda polifolia,0
X5C,Andromeda polifolia,0
D1SF,Arctostaphylos alpinus,8
D1C,Arctostaphylos alpinus,0
D2SF,Arctostaphylos alpinus,5
D2C,Arctostaphylos alpinus,0
D3SF,Arctostaphylos alpinus,0
D3C,Arctostaphylos alpinus,0
D4SF,Arctostaphylos alpinus,2
D4C,Arctostaphylos alpinus,3
D5SF,Arctostaphylos alpinus,1
D5C,Arctostaphylos alpinus,5
E1SF,Arctostaphylos alpinus,3
E1C,Arctostaphylos alpinus,36
E2SF,Arctostaphylos alpinus,9
E2C,Arctostaphylos alpinus,14
E3SF,Arctostaphylos alpinus,8
E3C,Arctostaphylos alpinus,0
E4SF,Arctostaphylos alpinus,30
E4C,Arctostaphylos alpinus,23
E5SF,Arctostaphylos alpinus,0
E5C,Arctostaphylos alpinus,6
X1SF,Arctostaphylos alpinus,0
X1C,Arctostaphylos alpinus,2
X2SF,Arctostaphylos alpinus,0
X2C,Arctostaphylos alpinus,0
X3SF,Arctostaphylos alpinus,0
X3C,Arctostaphylos alpinus,0
X4SF,Arctostaphylos alpinus,5
