species,plot,hits
Andromeda polifolia,D1SF,28
Andromeda polifolia,D1C,115
Andromeda polifolia,D2SF,22
Andromeda polifolia,D2C,48
Andromeda polifolia,D3SF,51
Andromeda polifolia,D3C,34
Andromeda polifolia,D4SF,40
Andromeda polifolia,D4C,69
Andromeda polifolia,D5SF,36
Andromeda polifolia,D5C,63
Andromeda polifolia,E1SF,0
Andromeda polifolia,E1C,0
Andromeda polifolia,E2SF,55
Andromeda polifolia,E2C,0
Andromeda polifolia,E3SF,0
Andromeda polifolia,E3C,28
Andromeda polifolia,E4SF,0
Andromeda polifolia,E4C,176
Andromeda polifolia,E5SF,22
Andromeda polifolia,E5C,0
Andromeda polifolia,X1SF,0
Andromeda polifolia,X1C,0
Andromeda polifolia,X2SF,0
Andromeda polifolia,X2C,0
Andromeda polifolia,X3SF,0
Andromeda polifolia,X3C,0
Andromeda polifolia,X4SF,0
Andromeda polifolia,X4C,0
Andromeda polifolia,X5SF,0
Andromeda polifolia,X5C,0
Arctous alpina,D1SF,4
Arctous alpina,D1C,0
Arctous alpina,D2SF,4
Arctous alpina,D2C,0
Arctous alpina,D3SF,0
Arctous alpina,D3C,0
Arctous alpina,D4SF,1
Arctous alpina,D4C,1
Arctous alpina,D5SF,13
Arctous alpina,D5C,0
Arctous alpina,E1SF,3
Arctous alpina,E1C,42
Arctous alpina,E2SF,14
Arctous alpina,E2C,18
Arctous alpina,E3SF,13
Arctous alpina,E3C,0
Arctous alpina,E4SF,69
Arctous alpina,E4C,16
Arctous alpina,E5SF,4
Arctous alpina,E5C,6
Arctous alpina,X1SF,0
Arctous alpina,X1C,2
Arctous alpina,X2SF,11
Arctous alpina,X2C,0
Arctous alpina,X3SF,0
Arctous alpina,X3C,0
Arctous alpina,X4SF,1
Arctous alpina,X4C,7
Arctous alpina,X5SF,0
Arctous alpina,X5C,0
Astragalus alpinus,D1SF,0
Astragalus alpinus,D1C,0
Astragalus alpinus,D2SF,0
Astragalus alpinus,D2C,0
