Slice,Count,Total Area,Average Size,%Area,Mean
E2SFe.jpg,303,6668.861,22.009,2.419,255
E2SFf.jpg,211,6418.444,30.419,2.603,255
E3C1.jpg,45,4712.778,104.728,9.418,255
E3C10.jpg,73,1441.583,19.748,2.461,255
E3C11.jpg,146,2788.944,19.102,3.376,255
E3C12.jpg,246,5631.139,22.891,5.059,255
E3C2.jpg,15,3375.750,225.050,9.716,255
E3C3.jpg,27,4475.667,165.765,11.697,255
E3C4.jpg,47,6698.917,142.530,9.492,255
E3C5.jpg,39,6899.139,176.901,15.208,255
E3C6.jpg,44,6224.722,141.471,12.738,255
E3C7.jpg,36,8731.722,242.548,28.585,255
E3C8.jpg,14,4522.555,323.040,16.784,255
E3C9.jpg,209,5188.111,24.823,3.570,255
E3SF1.jpg,46,7903.694,171.819,17.054,255
E3SF10.jpg,315,8211.083,26.067,5.596,255
E3SF11.jpg,348,7003.500,20.125,4.975,255
E3SF12.jpg,444,8209.944,18.491,5.111,255
E3SF2.jpg,34,6195.555,182.222,10.417,255
E3SF3.jpg,55,11324.472,205.899,16.040,255
E3SF4.jpg,55,5834.444,106.081,14.978,255
E3SF5.jpg,27,5688.500,210.685,14.488,255
E3SF6.jpg,28,5611.833,200.423,20.726,255
E3SF7.jpg,39,6307.611,161.734,16.041,255
E3SF8.jpg,46,6097.000,132.543,10.781,255
E3SF9.jpg,356,5974.750,16.783,3.197,255
E5C5.jpg,31,5106.611,164.729,15.504,255
X1Ca.jpg,21,4175.611,198.839,14.165,255
X1Cb.jpg,17,4297.722,252.807,13.231,255
X1Cc.jpg,29,3361.472,115.913,11.388,255
X1Cd.jpg,33,3424.750,103.780,8.664,255
X1Ce.jpg,189,6332.750,33.507,6.201,255
X1Cf.jpg,212,5859.306,27.638,3.452,255
X1SFa.jpg,18,3052.833,169.602,14.907,255
X1SFb.jpg,90,10448.611,116.096,21.414,255
X1SFc.jpg,220,5887.500,26.761,4.176,255
X4C1.jpg,41,1417.250,34.567,6.476,255
X4C10.jpg,280,6102.500,21.795,4.705,255
X4C11.jpg,144,4132.167,28.696,3.311,255
X4C12.jpg,155,3496.639,22.559,2.674,255
X4C2.jpg,16,2776.833,173.552,8.994,255
X4C3.jpg,28,3069.889,109.639,10.155,255
X4C4.jpg,26,2728.667,104.949,8.372,255
X4C5.jpg,29,5045.417,173.980,21.215,255
X4C6.jpg,18,6547.861,363.770,22.240,255
X4C7.jpg,62,7228.750,116.593,10.132,255
X4C8.jpg,83,8788.056,105.880,14.885,255
X4C9.jpg,105,2211.389,21.061,1.890,255
X4SF1.jpg,79,6184.556,78.286,11.262,255
X4SF10.jpg,179,4371.361,24.421,3.294,255
X4SF11.jpg,169,4792.472,28.358,3.341,255
X4SF12.jpg,315,9179.722,29.142,3.676,255
X4SF2.jpg,30,6239.028,207.968,16.826,255
X4SF3.jpg,61,5677.472,93.073,19.927,255
X4SF4.jpg,30,5216.667,173.889,13.148,255
X4SF5.jpg,23,4361.861,189.646,8.440,255
X4SF6.jpg,64,6983.194,109.112,14.413,255
X4SF7.jpg,33,2599.500,78.773,9.042,255
X4SF8.jpg,40,4430.917,110.773,11.996,255
X4SF9.jpg,238,6064.167,25.480,2.909,255
X5C10.jpg,427,9694.472,22.704,6.273,255
X5C11.jpg,428,10275.611,24.008,5.801,255
X5C12.jpg,194,4625.944,23.845,3.585,255
X5C2.jpg,59,7205.278,122.123,12.532,255
X5C3.jpg,66,5730.194,86.821,11.115,255
X5C4.jpg,49,6288.278,128.332,11.718,255
X5C6.jpg,42,4902.528,116.727,7.731,255
X5C7.jpg,14,2334.500,166.750,6.503,255
X5C8.jpg,28,3516.278,125.581,6.995,255
X5C9.jpg,207,4983.194,24.073,3.606,255
X5SF1.jpg,47,5313.833,113.060,11.358,255
X5SF10.jpg,253,3263.167,12.898,2.257,255
X5SF11.jpg,261,4763.917,18.253,2.979,255
X5SF12.jpg,152,1956.861,12.874,2.095,255
X5SF2.jpg,49,4625.972,94.408,9.680,255
X5SF3.jpg,46,4288.667,93.232,10.026,255
X5SF4.jpg,47,6123.222,130.281,12.656,255
X5SF5.jpg,34,4035.222,118.683,12.957,255
X5SF6.jpg,40,3451.667,86.292,7.955,255
X5SF7.jpg,29,5445.194,187.765,14.040,255
X5SF8.jpg,28,4775.556,170.556,15.091,255
X5SF9.jpg,201,2246.694,11.178,1.796,255
