code,Plot,habitat,site,treatment,number,species,height,fweight,dweight,leafa
X2C1,X2C,X,X2,C,1,Empnig,2.4,0.1029,0.0482,3.983809452
X2C2,X2C,X,X2,C,2,Empnig,3,0.0774,0.0306,3.06741322
X2C3,X2C,X,X2,C,3,Empnig,1.8,0.052,0.0244,2.271949004
X2C4,X2C,X,X2,C,4,Empnig,2.1,0.0764,0.033,2.915441911
X2C9,X2C,X,X2,C,9,Betnan,2.7,0.0632,0.0294,3.655781076
X2C10,X2C,X,X2,C,10,Betnan,3,0.052,0.0222,2.651517923
X2C11,X2C,X,X2,C,11,Vaculi,1.4,0.1109,0.0429,4.493341981
X2C12,X2C,X,X2,C,12,Vaculi,2.4,0.0505,0.0206,2.259117417
X2C13,X2C,X,X2,C,13,Vaculi,1.3,0.0587,0.0247,2.717395856
X2C14,X2C,X,X2,C,14,Vaculi,2.6,0.069,0.0314,3.035065543
X2SF1,X2SF,X,X2,SF,1,Empnig,2.6,0.0848,0.0414,3.746372507
X2SF2,X2SF,X,X2,SF,2,Empnig,1.8,0.0391,0.0196,1.786411911
X2SF3,X2SF,X,X2,SF,3,Empnig,2.7,0.0697,0.0379,3.038004892
X2SF4,X2SF,X,X2,SF,4,Empnig,2.8,0.0661,0.0319,2.977198562
X2SF9,X2SF,X,X2,SF,9,Betnan,12,0.0495,0.0231,2.681625604
X2SF10,X2SF,X,X2,SF,10,Betnan,4.8,0.0558,0.0265,2.716499728
X2SF11,X2SF,X,X2,SF,11,Betnan,5,0.0296,0.0135,1.569602667
X2SF12,X2SF,X,X2,SF,12,Betnan,3.3,0.0543,0.0234,2.874384574
X2SF13,X2SF,X,X2,SF,13,Vaculi,2.7,0.0642,0.0243,3.240101262
X2SF14,X2SF,X,X2,SF,14,Vaculi,1.2,0.0259,0.0104,1.245122671
X2SF15,X2SF,X,X2,SF,15,Vaculi,2.4,0.0364,0.0153,1.7516094
X2SF16,X2SF,X,X2,SF,16,Vaculi,1.3,0.0743,0.0316,2.812180827
E1C1,E1C,E,E1,C,1,Empnig,3.4,0.0903,0.0429,3.6725733
E1C2,E1C,E,E1,C,2,Empnig,4.5,0.0935,0.0382,3.977213981
E1C3,E1C,E,E1,C,3,Empnig,4.7,0.0602,0.0271,2.603041246
E1C4,E1C,E,E1,C,4,Empnig,3.6,0.069,0.0304,3.10289702
E1C9,E1C,E,E1,C,9,Betnan,10.3,0.0731,0.0302,3.65837978
E1C10,E1C,E,E1,C,10,Betnan,10.4,0.0869,0.0373,3.790189194
E1C11,E1C,E,E1,C,11,Betnan,10.7,0.0711,0.0301,3.361265536
E1C12,E1C,E,E1,C,12,Betnan,9.8,0.0918,0.0359,4.29370109
E1C13,E1C,E,E1,C,13,Vaculi,5.9,0.0441,0.0159,2.211877512
E1C14,E1C,E,E1,C,14,Vaculi,9.2,0.0577,0.0222,2.733955177
E1C15,E1C,E,E1,C,15,Vaculi,7.8,0.0655,0.0243,2.606338658
E1C16,E1C,E,E1,C,16,Vaculi,9.7,0.0628,0.0233,2.841553672
E1SF1,E1SF,E,E1,SF,1,Vaculi,3,0.0481,0.0193,2.215927181
E1SF2,E1SF,E,E1,SF,2,Vaculi,7.9,0.0476,0.019,2.287468328
E1SF3,E1SF,E,E1,SF,3,Vaculi,7.3,0.0548,0.0203,2.552127154
E1SF4,E1SF,E,E1,SF,4,Vaculi,9.1,0.1005,0.0373,4.43918467
E1SF5,E1SF,E,E1,SF,5,Empnig,6,0.0613,0.03,2.34418886
E1SF6,E1SF,E,E1,SF,6,Empnig,5.3,0.132,0.0595,5.43176333
E1SF7,E1SF,E,E1,SF,7,Empnig,7.5,0.1361,0.0594,5.330509339
E1SF8,E1SF,E,E1,SF,8,Empnig,5.8,0.2372,0.1075,8.396739336
E1SF13,E1SF,E,E1,SF,13,Betnan,16.4,0.1106,0.0456,5.108645912
E1SF14,E1SF,E,E1,SF,14,Betnan,24.5,0.0739,0.0331,3.66079913
E1SF15,E1SF,E,E1,SF,15,Betnan,26.4,0.0968,0.0405,4.16434651
E1SF16,E1SF,E,E1,SF,16,Betnan,25.2,0.0721,0.0293,3.496193653
X1SF1,X1SF,X,X1,SF,1,Vaculi,3.3,0.0445,0.0156,2.695227513
X1SF2,X1SF,X,X1,SF,2,Vaculi,1.9,0.0359,0.0132,1.888974932
X1SF3,X1SF,X,X1,SF,3,Empnig,2.8,0.085,0.0421,3.246498668
X1SF4,X1SF,X,X1,SF,4,Empnig,4.9,0.098,0.049,3.770996329
X1SF5,X1SF,X,X1,SF,5,Betnan,10,0.0958,0.0424,4.85434513
X1SF6,X1SF,X,X1,SF,6,Betnan,9.3,0.0765,0.0344,3.897805753
X1SF9,X1SF,X,X1,SF,9,Vaculi,4.4,0.0713,0.0307,3.431265396
X1SF10,X1SF,X,X1,SF,10,Empnig,3.7,0.0653,0.0303,2.407808733
X1SF11,X1SF,X,X1,SF,11,Betnan,10.6,0.072,0.0314,3.940439861
X1C1,X1C,X,X1,C,1,Vaculi,1.8,0.0567,0.0234,2.478884074
X1C2,X1C,X,X1,C,2,Vaculi,2.5,0.054,0.0214,2.764743503
X1C3,X1C,X,X1,C,3,Empnig,4.6,0.1179,0.0548,4.55063606
X1C4,X1C,X,X1,C,4,Empnig,2.7,0.0684,0.0345,2.95580054
X1C7,X1C,X,X1,C,7,Betnan,6.6,0.0977,0.038,5.30918293
X1C8,X1C,X,X1,C,8,Betnan,5.7,0.0649,0.0292,3.231642569
E2SF1,E2SF,E,E2,SF,1,Vaculi,9.8,0.1196,0.041,4.880921851
E2SF2,E2SF,E,E2,SF,2,Vaculi,7.2,0.0665,0.025,2.562432294
E2SF5,E2SF,E,E2,SF,5,Empnig,5.4,0.1197,0.053,4.822858096
E2SF6,E2SF,E,E2,SF,6,Empnig,7.4,0.0757,0.0308,3.427000243
