code,Plot,habitat,site,treatment,species,height,fweight,dweight,bulknr,leafa,comment
1,X4C,X,4,C,Dryoct,2.7,0.059,0.0211,5,2.547,
2,X4C,X,4,C,Loipro,0.5,0.0401,0.0191,10,1.061,
3,X4C,X,4,C,Loipro,0.9,0.0581,0.0306,10,,scan missing
4,X4C,X,4,C,Loipro,1.2,0.0588,0.0291,10,,scan missing
5,X4C,X,4,C,Arcalp,3.2,0.1196,0.0444,3,,scan missing
6,X4C,X,4,C,Arcalp,1.9,0.0771,0.0294,5,,scan missing
7,X4C,X,4,C,Arcalp,0.3,0.1508,0.0614,4,,scan missing
8,X4C,X,4,C,Astalp,2.9,0.056,0.0141,3,,scan missing
9,X4C,X,4,C,Astalp,3.1,0.2526,0.0556,3,11.148,
10,X4C,X,4,C,Astalp,3.1,0.1522,0.0353,3,6.428,
11,X4C,X,4,C,Pedlap,3.5,0.1476,0.0362,3,4.659,
12,X4C,X,4,C,Pedlap,2.6,0.0927,0.276,3,3.281,
13,X4C,X,4,C,Pedlap,3.4,0.1305,0.0365,3,4.405,
14,X4SF,X,4,SF,Arcalp,4.9,0.1252,0.0431,3,4.907,
15,X4SF,X,4,SF,Arcalp,2.2,0.158,0.0582,4,6.838,
16,X4SF,X,4,SF,Arcalp,2.5,0.166,0.0819,4,6.382,
17,X4SF,X,4,SF,Dialap,1.5,0.0538,0.0239,9,0.899,
18,X4SF,X,4,SF,Juntri,6.4,0.0553,0.0296,3,2.086,
19,X4SF,X,4,SF,Juntri,7.9,0.0487,0.0171,3,1.876,
20,X4SF,X,4,SF,Juntri,6.4,0.0414,0.015,4,1.687,
21,X4SF,X,4,SF,Loipro,0.6,0.0374,0.0169,10,0.946,
22,X4SF,X,4,SF,Loipro,1.1,0.432,0.0395,10,1.083,
23,X4SF,X,4,SF,Loipro,1.2,0.0355,0.02,10,0.838,
24,X3SF,X,3,SF,Juntri,6.4,0.1172,0.0377,5,3.118,
25,X3SF,X,3,SF,Juntri,7.3,0.1143,0.0377,5,3.578,
26,X3SF,X,3,SF,Juntri,9,0.1206,0.0407,3,3.412,
27,X3SF,X,3,SF,Loipro,1,0.047,0.0226,10,1.052,
28,X3SF,X,3,SF,Loipro,0.7,0.0495,0.0241,10,1.143,
29,X3SF,X,3,SF,Loipro,1.2,0.0474,0.0239,10,1.203,
30,E5C,E,5,C,Arcalp,4,0.1271,0.0514,3,4.963,
31,E5C,E,5,C,Arcalp,2.6,0.1241,0.0522,3,4.868,
32,E5C,E,5,C,Arcalp,3.2,0.092,0.0367,3,3.461,
33,E5C,E,5,C,Callap,16.6,0.0952,0.04,2,4.938,
34,E5C,E,5,C,Callap,19.4,0.1528,0.0616,3,10.467,
35,E5C,E,5,C,Callap,19.5,0.0619,0.0248,1,3.441,
36,E5C,E,5,C,Vacvit,1.9,0.0305,0.0138,4,1.167,
37,E5C,E,5,C,Vacvit,3.3,0.083,0.043,4,2.363,
38,E5C,E,5,C,Vacvit,2.3,0.047,0.0232,3,1.438,
39,E5SF,E,5,SF,Andpol,5.7,0.0615,0.0158,5,2.247,
40,E5SF,E,5,SF,Andpol,2.4,0.035,0.0101,4,1.14,
41,E5SF,E,5,SF,Andpol,2.4,0.0113,0.0021,3,0.45,
42,E5SF,E,5,SF,Callap,31.2,0.1495,0.0575,4,10.513,
43,E5SF,E,5,SF,Callap,14.6,0.1778,0.0647,4,11.871,
44,E5SF,E,5,SF,Callap,14.3,0.124,0.0487,4,6.85,
45,E5SF,E,5,SF,Carbig,11.3,0.1558,0.0591,3,7.705,
46,E5SF,E,5,SF,Carbig,9.9,0.1792,0.0662,3,8.977,
47,E5SF,E,5,SF,Carbig,7,0.0775,0.0273,3,4.224,
48,E5SF,E,5,SF,Equpra,7.4,0.2487,0.0542,1,7.226,
49,E5SF,E,5,SF,Equpra,4.8,0.4585,0.0944,1,12.711,
50,E5SF,E,5,SF,Equpra,7.8,0.404,0.0961,1,9.592,
51,E5SF,E,5,SF,Equsci,2.3,0.1277,0.0566,10,3.867,
52,E5SF,E,5,SF,Equsci,4.4,0.0929,0.0444,8,3.383,
53,E5SF,E,5,SF,Equsci,1.2,0.0364,0.013,6,1.11,
54,E5SF,E,5,SF,Rubcha,4.1,0.1311,0.0433,1,5.726,
55,E5SF,E,5,SF,Rubcha,3.4,0.1731,0.0553,1,6.749,
