plot,habitat,site,treatment,spec,species,genus,family,group,hits,cover
D1SF,meadow,1,snowfence,Andpol,Andromeda polifolia,Andromeda,Ericaceae,dS,73,16.55328798185941
D1C,meadow,1,control,Andpol,Andromeda polifolia,Andromeda,Ericaceae,dS,124,28.117913832199548
D2SF,meadow,2,snowfence,Andpol,Andromeda polifolia,Andromeda,Ericaceae,dS,34,7.709750566893423
D2C,meadow,2,control,Andpol,Andromeda polifolia,Andromeda,Ericaceae,dS,64,14.512471655328799
D3SF,meadow,3,snowfence,Andpol,Andromeda polifolia,Andromeda,Ericaceae,dS,64,14.512471655328799
D3C,meadow,3,control,Andpol,Andromeda polifolia,Andromeda,Ericaceae,dS,47,10.657596371882086
D4SF,meadow,4,snowfence,Andpol,Andromeda polifolia,Andromeda,Ericaceae,dS,13,2.947845804988662
D4C,meadow,4,control,Andpol,Andromeda polifolia,Andromeda,Ericaceae,dS,105,23.809523809523807
D5SF,meadow,5,snowfence,Andpol,Andromeda polifolia,Andromeda,Ericaceae,dS,25,5.6689342403628125
D5C,meadow,5,control,Andpol,Andromeda polifolia,Andromeda,Ericaceae,dS,77,17.46031746031746
E1SF,heath,1,snowfence,Andpol,Andromeda polifolia,Andromeda,Ericaceae,dS,0,0
E1C,heath,1,control,Andpol,Andromeda polifolia,Andromeda,Ericaceae,dS,0,0
E2SF,heath,2,snowfence,Andpol,Andromeda polifolia,Andromeda,Ericaceae,dS,35,7.936507936507936
E2C,heath,2,control,Andpol,Andromeda polifolia,Andromeda,Ericaceae,dS,2,0.45351473922902497
E3SF,heath,3,snowfence,Andpol,Andromeda polifolia,Andromeda,Ericaceae,dS,0,0
E3C,heath,3,control,Andpol,Andromeda polifolia,Andromeda,Ericaceae,dS,24,5.442176870748299
E4SF,heath,4,snowfence,Andpol,Andromeda polifolia,Andromeda,Ericaceae,dS,0,0
E4C,heath,4,control,Andpol,Andromeda polifolia,Andromeda,Ericaceae,dS,157,35.600907029478456
