ID,plot,habitat,site,treatment,spec,species,genus,family,group,trait,trait_value
67,X2C,ridge,2,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,height,2.325
67,X2C,ridge,2,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,dweight,0.03405
67,X2C,ridge,2,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,fweight,0.077175
67,X2C,ridge,2,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,leafa,3.05965339675
67,X2C,ridge,2,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,LDMC,0.44123317925465844
67,X2C,ridge,2,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,SLA,91.08832478684106
67,X2C,ridge,2,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,wN,0.79
67,X2C,ridge,2,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,d15N,-4.36
67,X2C,ridge,2,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,wC,53.21
67,X2C,ridge,2,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,d13C,-28.91
67,X2C,ridge,2,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,CN_ratio,67.35443038
68,X2C,ridge,2,control,Betnan,Betula nana,Betula,Betulaceae,dS,height,2.85
68,X2C,ridge,2,control,Betnan,Betula nana,Betula,Betulaceae,dS,dweight,0.0258
68,X2C,ridge,2,control,Betnan,Betula nana,Betula,Betulaceae,dS,fweight,0.0576
68,X2C,ridge,2,control,Betnan,Betula nana,Betula,Betulaceae,dS,leafa,3.1536494995
68,X2C,ridge,2,control,Betnan,Betula nana,Betula,Betulaceae,dS,LDMC,0.4460564751703992
68,X2C,ridge,2,control,Betnan,Betula nana,Betula,Betulaceae,dS,SLA,121.89201969066005
68,X2C,ridge,2,control,Betnan,Betula nana,Betula,Betulaceae,dS,wN,1.93
68,X2C,ridge,2,control,Betnan,Betula nana,Betula,Betulaceae,dS,d15N,-2.17
68,X2C,ridge,2,control,Betnan,Betula nana,Betula,Betulaceae,dS,wC,49.49
68,X2C,ridge,2,control,Betnan,Betula nana,Betula,Betulaceae,dS,d13C,-30.61
68,X2C,ridge,2,control,Betnan,Betula nana,Betula,Betulaceae,dS,CN_ratio,25.64248705
69,X2C,ridge,2,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,height,1.925
69,X2C,ridge,2,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,dweight,0.0299
69,X2C,ridge,2,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,fweight,0.072275
69,X2C,ridge,2,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,leafa,3.12623019925
69,X2C,ridge,2,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,LDMC,0.41765297199437557
69,X2C,ridge,2,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,SLA,105.26999130423722
69,X2C,ridge,2,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,wN,1.51
69,X2C,ridge,2,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,d15N,-1.86
69,X2C,ridge,2,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,wC,50.57
69,X2C,ridge,2,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,d13C,-29.65
69,X2C,ridge,2,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,CN_ratio,33.49006623
70,X2SF,ridge,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,height,2.475
70,X2SF,ridge,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,dweight,0.0327
70,X2SF,ridge,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,fweight,0.064925
70,X2SF,ridge,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,leafa,2.886996968
70,X2SF,ridge,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,LDMC,0.5039618511381971
70,X2SF,ridge,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,SLA,88.78077583420273
70,X2SF,ridge,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,wN,0.61
70,X2SF,ridge,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,d15N,-6.13
70,X2SF,ridge,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,wC,52.29
70,X2SF,ridge,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,d13C,-28.89
70,X2SF,ridge,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,CN_ratio,85.72131148
71,X2SF,ridge,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,height,6.275
71,X2SF,ridge,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,dweight,0.021625
71,X2SF,ridge,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,fweight,0.0473
71,X2SF,ridge,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,leafa,2.46052814325
71,X2SF,ridge,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,LDMC,0.4571493421330794
71,X2SF,ridge,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,SLA,114.42523100300538
71,X2SF,ridge,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,wN,1.46
71,X2SF,ridge,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,d15N,-4.24
71,X2SF,ridge,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,wC,49.39
71,X2SF,ridge,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,d13C,-30.19
71,X2SF,ridge,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,CN_ratio,33.82876712
72,X2SF,ridge,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,height,1.9
72,X2SF,ridge,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,dweight,0.0204
72,X2SF,ridge,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,fweight,0.0502
72,X2SF,ridge,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,leafa,2.26225354
72,X2SF,ridge,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,LDMC,0.40642039278770264
72,X2SF,ridge,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,SLA,114.13454322480018
72,X2SF,ridge,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,wN,1.52
72,X2SF,ridge,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,d15N,-2.76
72,X2SF,ridge,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,wC,48.78
72,X2SF,ridge,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,d13C,-30.08
72,X2SF,ridge,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,CN_ratio,32.09210526
31,E1C,heath,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,height,4.05
31,E1C,heath,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,dweight,0.03465
31,E1C,heath,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,fweight,0.07825
31,E1C,heath,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,leafa,3.3389313867499997
31,E1C,heath,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,LDMC,0.4435962573281909
31,E1C,heath,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,SLA,96.96137047547116
31,E1C,heath,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,wN,1.01
31,E1C,heath,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,d15N,-8.55
31,E1C,heath,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,wC,53.47
31,E1C,heath,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,d13C,-28.78
31,E1C,heath,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,CN_ratio,52.94059406
32,E1C,heath,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,height,10.3
32,E1C,heath,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,dweight,0.033375
32,E1C,heath,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,fweight,0.080725
32,E1C,heath,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,leafa,3.7758839
32,E1C,heath,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,LDMC,0.4141941574862491
32,E1C,heath,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,SLA,113.50592691459167
32,E1C,heath,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,wN,1.94
32,E1C,heath,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,d15N,-7
32,E1C,heath,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,wC,48.89
32,E1C,heath,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,d13C,-29.1
32,E1C,heath,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,CN_ratio,25.20103093
33,E1C,heath,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,height,8.15
33,E1C,heath,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,dweight,0.021425
33,E1C,heath,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,fweight,0.057525
