ID,plot,habitat,site,treatment,spec,species,genus,family,group,height,dweight,fweight,leafa,LDMC,SLA,wN,d15N,wC,d13C,CN_ratio
67,X2C,ridge,2,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,2.325,0.03405,0.077175,3.05965339675,0.44123317925465844,91.08832478684106,0.79,-4.36,53.21,-28.91,67.35443038
68,X2C,ridge,2,control,Betnan,Betula nana,Betula,Betulaceae,dS,2.85,0.0258,0.0576,3.1536494995,0.4460564751703992,121.89201969066005,1.93,-2.17,49.49,-30.61,25.64248705
69,X2C,ridge,2,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,1.925,0.0299,0.072275,3.12623019925,0.41765297199437557,105.26999130423722,1.51,-1.86,50.57,-29.65,33.49006623
70,X2SF,ridge,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,2.475,0.0327,0.064925,2.886996968,0.5039618511381971,88.78077583420273,0.61,-6.13,52.29,-28.89,85.72131148
71,X2SF,ridge,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,6.275,0.021625,0.0473,2.46052814325,0.4571493421330794,114.42523100300538,1.46,-4.24,49.39,-30.19,33.82876712
72,X2SF,ridge,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,1.9,0.0204,0.0502,2.26225354,0.40642039278770264,114.13454322480018,1.52,-2.76,48.78,-30.08,32.09210526
31,E1C,heath,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,4.05,0.03465,0.07825,3.3389313867499997,0.4435962573281909,96.96137047547116,1.01,-8.55,53.47,-28.78,52.94059406
32,E1C,heath,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,10.3,0.033375,0.080725,3.7758839,0.4141941574862491,113.50592691459167,1.94,-7,48.89,-29.1,25.20103093
33,E1C,heath,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,8.15,0.021425,0.057525,2.59843125475,0.37182609813821343,122.86868885566243,1.89,-4.67,50.38,-29.69,26.65608466
34,E1SF,heath,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,6.825,0.023975,0.06275,2.8736768332500002,0.38549732498107303,119.98537325780117,1.72,-4.02,49.63,-29.69,28.85465116
35,E1SF,heath,1,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,6.15,0.0641,0.14165,5.37580021625,0.4574504563495009,84.31954656338188,0.86,-4.06,54.57,-27.53,63.45348837
36,E1SF,heath,1,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,23.125,0.037125,0.08835,4.10749630125,0.42124189818214103,111.1943139254291,1.84,-6.44,49.94,-29.98,27.14130435
64,X1SF,ridge,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,3.25,0.0182,0.04725,2.49625839475,0.3763483049278263,143.93260197187067,1.83,-1.72,50.25,-29.47,27.45901639
65,X1SF,ridge,1,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,5.025,0.042975,0.086225,3.3059208074999997,0.4955201739794393,77.18854044099206,0.72,-4.13,53.01,-27.67,73.625
66,X1SF,ridge,1,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,14.05,0.040625,0.0937,4.85840415425,0.4361162485655122,119.35835422925845,1.98,-2.46,50.03,-30.42,25.26767677
61,X1C,ridge,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,2.775,0.02005,0.049525,2.40545664075,0.40454351844566644,120.86745310986271,1.79,-4.21,50.38,-30.24,28.1452514
62,X1C,ridge,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,2.775,0.044325,0.094975,3.84306586225,0.4696284548011018,86.87504713657069,0.74,-5.63,51.34,-28.67,69.37837838
63,X1C,ridge,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,8,0.02965,0.0695975,3.5018702545,0.4338178772924317,116.20733958321239,1.99,1.65,49.82,-30.23,25.03517588
37,E2SF,heath,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,9.1,0.0281,0.07845,3.13256986375,0.3613921353202249,110.44256022349319,1.88,-3.26,50.67,-30.35,26.95212766
38,E2SF,heath,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,7.9,0.04325,0.0989,4.17331600825,0.4351948746194808,97.96505853878969,0.96,-7.8,52.45,-27.82,54.63541667
39,E2SF,heath,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,15.275,0.035750000000000004,0.090375,4.33590084425,0.398086189152837,123.68178504559262,1.9,-2.65,50.55,-29.46,26.60526316
NA,E2C,heath,2,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,6,0.02445,0.061625,3.13257873475,0.39702900007579134,127.23021865946198,NA,NA,NA,NA,NA
NA,E2C,heath,2,control,Betnan,Betula nana,Betula,Betulaceae,dS,12.25,0.0237,0.05265,2.65382969225,0.4505429688721095,112.8379732204429,NA,NA,NA,NA,NA
NA,E2C,heath,2,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,8.975,0.044125,0.090575,3.42155670525,0.4876805754315827,78.11791599261042,NA,NA,NA,NA,NA
1,D1C,meadow,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,5.325,0.036075,0.08775,3.44100102125,0.41518155031036197,96.34913887188246,1.7,-5.44,50.98,-29.41,29.98823529
2,D1C,meadow,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,7.275,0.02245,0.05308,2.7694030095,0.4227803170367719,124.26217877941484,1.7,-6.17,51.5,-30.27,30.29411765
