code,plot,habitat,site,treatment,spec,species,genus,family,group,trait,trait_value
X2C1,X2C,ridge,2,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,height,2.4
X2C1,X2C,ridge,2,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,fweight,0.1029
X2C1,X2C,ridge,2,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,dweight,0.0482
X2C1,X2C,ridge,2,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,leafa,3.983809452
X2C1,X2C,ridge,2,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,LDMC,0.4684159378036929
X2C1,X2C,ridge,2,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,SLA,82.65164838174275
X2C2,X2C,ridge,2,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,height,3
X2C2,X2C,ridge,2,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,fweight,0.0774
X2C2,X2C,ridge,2,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,dweight,0.0306
X2C2,X2C,ridge,2,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,leafa,3.06741322
X2C2,X2C,ridge,2,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,LDMC,0.3953488372093023
X2C2,X2C,ridge,2,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,SLA,100.24226209150328
X2C3,X2C,ridge,2,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,height,1.8
X2C3,X2C,ridge,2,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,fweight,0.052
X2C3,X2C,ridge,2,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,dweight,0.0244
X2C3,X2C,ridge,2,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,leafa,2.271949004
X2C3,X2C,ridge,2,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,LDMC,0.4692307692307693
X2C3,X2C,ridge,2,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,SLA,93.11266409836065
X2C4,X2C,ridge,2,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,height,2.1
X2C4,X2C,ridge,2,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,fweight,0.0764
X2C4,X2C,ridge,2,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,dweight,0.033
X2C4,X2C,ridge,2,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,leafa,2.915441911
X2C4,X2C,ridge,2,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,LDMC,0.43193717277486915
X2C4,X2C,ridge,2,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,SLA,88.34672457575756
X2C9,X2C,ridge,2,control,Betnan,Betula nana,Betula,Betulaceae,dS,height,2.7
X2C9,X2C,ridge,2,control,Betnan,Betula nana,Betula,Betulaceae,dS,fweight,0.0632
X2C9,X2C,ridge,2,control,Betnan,Betula nana,Betula,Betulaceae,dS,dweight,0.0294
X2C9,X2C,ridge,2,control,Betnan,Betula nana,Betula,Betulaceae,dS,leafa,3.655781076
X2C9,X2C,ridge,2,control,Betnan,Betula nana,Betula,Betulaceae,dS,LDMC,0.46518987341772144
X2C9,X2C,ridge,2,control,Betnan,Betula nana,Betula,Betulaceae,dS,SLA,124.34629510204081
X2C10,X2C,ridge,2,control,Betnan,Betula nana,Betula,Betulaceae,dS,height,3
X2C10,X2C,ridge,2,control,Betnan,Betula nana,Betula,Betulaceae,dS,fweight,0.052
X2C10,X2C,ridge,2,control,Betnan,Betula nana,Betula,Betulaceae,dS,dweight,0.0222
X2C10,X2C,ridge,2,control,Betnan,Betula nana,Betula,Betulaceae,dS,leafa,2.651517923
X2C10,X2C,ridge,2,control,Betnan,Betula nana,Betula,Betulaceae,dS,LDMC,0.42692307692307696
X2C10,X2C,ridge,2,control,Betnan,Betula nana,Betula,Betulaceae,dS,SLA,119.43774427927927
X2C11,X2C,ridge,2,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,height,1.4
X2C11,X2C,ridge,2,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,fweight,0.1109
X2C11,X2C,ridge,2,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,dweight,0.0429
X2C11,X2C,ridge,2,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,leafa,4.493341981
X2C11,X2C,ridge,2,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,LDMC,0.3868349864743012
X2C11,X2C,ridge,2,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,SLA,104.73990631701632
X2C12,X2C,ridge,2,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,height,2.4
X2C12,X2C,ridge,2,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,fweight,0.0505
X2C12,X2C,ridge,2,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,dweight,0.0206
X2C12,X2C,ridge,2,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,leafa,2.259117417
X2C12,X2C,ridge,2,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,LDMC,0.4079207920792079
X2C12,X2C,ridge,2,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,SLA,109.66589402912622
X2C13,X2C,ridge,2,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,height,1.3
X2C13,X2C,ridge,2,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,fweight,0.0587
X2C13,X2C,ridge,2,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,dweight,0.0247
X2C13,X2C,ridge,2,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,leafa,2.717395856
X2C13,X2C,ridge,2,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,LDMC,0.42078364565587734
X2C13,X2C,ridge,2,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,SLA,110.01602655870445
X2C14,X2C,ridge,2,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,height,2.6
X2C14,X2C,ridge,2,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,fweight,0.069
X2C14,X2C,ridge,2,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,dweight,0.0314
X2C14,X2C,ridge,2,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,leafa,3.035065543
X2C14,X2C,ridge,2,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,LDMC,0.4550724637681159
X2C14,X2C,ridge,2,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,SLA,96.65813831210191
X2SF1,X2SF,ridge,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,height,2.6
X2SF1,X2SF,ridge,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,fweight,0.0848
X2SF1,X2SF,ridge,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,dweight,0.0414
X2SF1,X2SF,ridge,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,leafa,3.746372507
X2SF1,X2SF,ridge,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,LDMC,0.4882075471698113
X2SF1,X2SF,ridge,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,SLA,90.4920895410628
X2SF2,X2SF,ridge,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,height,1.8
X2SF2,X2SF,ridge,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,fweight,0.0391
X2SF2,X2SF,ridge,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,dweight,0.0196
X2SF2,X2SF,ridge,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,leafa,1.786411911
