code,plot,habitat,site,treatment,spec,species,genus,family,group,height,fweight,dweight,leafa,LDMC,SLA
X2C1,X2C,ridge,2,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,2.4,0.1029,0.0482,3.983809452,0.4684159378036929,82.65164838174275
X2C2,X2C,ridge,2,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,3,0.0774,0.0306,3.06741322,0.3953488372093023,100.24226209150328
X2C3,X2C,ridge,2,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,1.8,0.052,0.0244,2.271949004,0.4692307692307693,93.11266409836065
X2C4,X2C,ridge,2,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,2.1,0.0764,0.033,2.915441911,0.43193717277486915,88.34672457575756
X2C9,X2C,ridge,2,control,Betnan,Betula nana,Betula,Betulaceae,dS,2.7,0.0632,0.0294,3.655781076,0.46518987341772144,124.34629510204081
X2C10,X2C,ridge,2,control,Betnan,Betula nana,Betula,Betulaceae,dS,3,0.052,0.0222,2.651517923,0.42692307692307696,119.43774427927927
X2C11,X2C,ridge,2,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,1.4,0.1109,0.0429,4.493341981,0.3868349864743012,104.73990631701632
X2C12,X2C,ridge,2,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,2.4,0.0505,0.0206,2.259117417,0.4079207920792079,109.66589402912622
X2C13,X2C,ridge,2,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,1.3,0.0587,0.0247,2.717395856,0.42078364565587734,110.01602655870445
X2C14,X2C,ridge,2,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,2.6,0.069,0.0314,3.035065543,0.4550724637681159,96.65813831210191
X2SF1,X2SF,ridge,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,2.6,0.0848,0.0414,3.746372507,0.4882075471698113,90.4920895410628
X2SF2,X2SF,ridge,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,1.8,0.0391,0.0196,1.786411911,0.5012787723785166,91.14346484693878
X2SF3,X2SF,ridge,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,2.7,0.0697,0.0379,3.038004892,0.5437589670014348,80.15844042216358
X2SF4,X2SF,ridge,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,2.8,0.0661,0.0319,2.977198562,0.48260211800302566,93.32910852664577
X2SF9,X2SF,ridge,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,12,0.0495,0.0231,2.681625604,0.4666666666666666,116.0876884848485
X2SF10,X2SF,ridge,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,4.8,0.0558,0.0265,2.716499728,0.47491039426523296,102.50942369811321
X2SF11,X2SF,ridge,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,5,0.0296,0.0135,1.569602667,0.45608108108108103,116.26686422222222
X2SF12,X2SF,ridge,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,3.3,0.0543,0.0234,2.874384574,0.430939226519337,122.8369476068376
X2SF13,X2SF,ridge,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,2.7,0.0642,0.0243,3.240101262,0.3785046728971963,133.33750049382718
X2SF14,X2SF,ridge,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,1.2,0.0259,0.0104,1.245122671,0.4015444015444015,119.72333375000001
X2SF15,X2SF,ridge,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,2.4,0.0364,0.0153,1.7516094,0.4203296703296703,114.48427450980392
X2SF16,X2SF,ridge,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,1.3,0.0743,0.0316,2.812180827,0.4253028263795424,88.99306414556962
E1C1,E1C,heath,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,3.4,0.0903,0.0429,3.6725733,0.4750830564784053,85.60776923076922
E1C2,E1C,heath,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,4.5,0.0935,0.0382,3.977213981,0.4085561497326203,104.1155492408377
E1C3,E1C,heath,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,4.7,0.0602,0.0271,2.603041246,0.45016611295681064,96.0531825092251
E1C4,E1C,heath,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,3.6,0.069,0.0304,3.10289702,0.44057971014492747,102.06898092105263
E1C9,E1C,heath,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,10.3,0.0731,0.0302,3.65837978,0.4131326949384405,121.13840331125829
E1C10,E1C,heath,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,10.4,0.0869,0.0373,3.790189194,0.429228998849252,101.61365131367292
E1C11,E1C,heath,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,10.7,0.0711,0.0301,3.361265536,0.42334739803094235,111.66995136212626
E1C12,E1C,heath,1,control,Betnan,Betula nana,Betula,Betulaceae,dS,9.8,0.0918,0.0359,4.29370109,0.39106753812636164,119.60170167130919
E1C13,E1C,heath,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,5.9,0.0441,0.0159,2.211877512,0.36054421768707484,139.11179320754715
E1C14,E1C,heath,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,9.2,0.0577,0.0222,2.733955177,0.38474870017331025,123.1511340990991
E1C15,E1C,heath,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,7.8,0.0655,0.0243,2.606338658,0.3709923664122137,107.25673489711934
E1C16,E1C,heath,1,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,9.7,0.0628,0.0233,2.841553672,0.3710191082802548,121.9550932188841
E1SF1,E1SF,heath,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,3,0.0481,0.0193,2.215927181,0.4012474012474013,114.81487984455958
E1SF2,E1SF,heath,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,7.9,0.0476,0.019,2.287468328,0.3991596638655462,120.39306989473685
E1SF3,E1SF,heath,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,7.3,0.0548,0.0203,2.552127154,0.3704379562043795,125.72054945812808
E1SF4,E1SF,heath,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,9.1,0.1005,0.0373,4.43918467,0.37114427860696514,119.01299383378017
E1SF5,E1SF,heath,1,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,6,0.0613,0.03,2.34418886,0.4893964110929853,78.13962866666667
E1SF6,E1SF,heath,1,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,5.3,0.132,0.0595,5.43176333,0.4507575757575757,91.29014000000001
E1SF7,E1SF,heath,1,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,7.5,0.1361,0.0594,5.330509339,0.4364437913299045,89.73921446127946
E1SF8,E1SF,heath,1,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,5.8,0.2372,0.1075,8.396739336,0.45320404721753793,78.10920312558139
E1SF13,E1SF,heath,1,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,16.4,0.1106,0.0456,5.108645912,0.41229656419529837,112.03170859649123
E1SF14,E1SF,heath,1,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,24.5,0.0739,0.0331,3.66079913,0.4479025710419486,110.59816102719034
E1SF15,E1SF,heath,1,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,26.4,0.0968,0.0405,4.16434651,0.41838842975206614,102.82337061728394
E1SF16,E1SF,heath,1,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,25.2,0.0721,0.0293,3.496193653,0.406380027739251,119.32401546075086
X1SF1,X1SF,ridge,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,3.3,0.0445,0.0156,2.695227513,0.350561797752809,172.77099442307693
X1SF2,X1SF,ridge,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,1.9,0.0359,0.0132,1.888974932,0.36768802228412256,143.1041615151515
X1SF3,X1SF,ridge,1,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,2.8,0.085,0.0421,3.246498668,0.4952941176470588,77.1139826128266
X1SF4,X1SF,ridge,1,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,4.9,0.098,0.049,3.770996329,0.5,76.95910875510204
X1SF5,X1SF,ridge,1,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,10,0.0958,0.0424,4.85434513,0.44258872651356995,114.48927193396226
X1SF6,X1SF,ridge,1,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,9.3,0.0765,0.0344,3.897805753,0.4496732026143791,113.30830677325582
X1SF9,X1SF,ridge,1,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,4.4,0.0713,0.0307,3.431265396,0.4305750350631136,111.76760247557003
X1SF10,X1SF,ridge,1,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,3.7,0.0653,0.0303,2.407808733,0.4640122511485452,79.46563475247524
X1SF11,X1SF,ridge,1,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,10.6,0.072,0.0314,3.940439861,0.4361111111111111,125.49171531847135
