"spec","estimate","std.error","p.value","r.squared","sig"
"Andpol",0.105939070351759,0.0149759205655906,2.06148888935327e-05,0.819793008635942,"*"
"Arcalp",0.0481,NA,NA,1,NA
"Astalp",0.134,NA,NA,1,NA
"Baralp",0.209899159663866,0.062356510804071,0.0151148753474512,0.653794102663983,"*"
"Betnan",0.172132631578947,0.0185695132544157,3.13450701840471e-09,0.788847774086139,"*"
"Bisviv",0.0650338078291815,0.0128059344328453,0.00143357193164607,0.786522011389151,"*"
"Callap",0.032464141821112,0.00994022745348351,0.0137512414431946,0.603766140740146,"*"
"Carbig",0.0480000000000001,NA,NA,1,NA
"Carcap",0.0315248015873016,0.0135552122726036,0.0589901717364622,0.474085098024218,"ns"
"Cardio",0.12073503101145,0.0643331321591101,0.119379114046365,0.413287650820329,"ns"
"Carrup",0.0316823104693141,0.0277003071390979,0.457374182692021,0.566756538436937,"ns"
"Carvag",0.0762747410817031,0.0235165511459809,0.0141852005230369,0.600455783760513,"*"
"Dialap",0.20225,0.102624010348456,0.29893076646934,0.795249748477499,"ns"
"Empnig",0.187687325075305,0.0148431113751165,1.06514697482759e-10,0.893789194244196,"*"
"Equpra",NA,NA,NA,0,NA
"Equsci",0.0393653995345229,0.0185692722548095,0.0668333601581962,0.359696095159702,"ns"
"Fesovi",0.0293783783783784,0.00112349241572035,0.0243338523696833,0.998539673471664,"*"
"Hupsel",NA,NA,NA,0,NA
"Linbor",NA,NA,NA,0,NA
"Kalpro",0.182645888594165,0.0681314865303221,0.0437789310233955,0.589713625162525,"*"
"Pinvul",0.032,NA,NA,1,NA
"Rholap",-0.0617857142857142,0.12062496695569,0.698643009052009,0.207834504597094,"ns"
"Rubcha",NA,NA,NA,0,NA
"Salgla",0.305279661016949,0.062695797709552,0.00459599612074833,0.825840455017512,"*"
"Tofpus",0.0727646103896104,0.021506578083451,0.0117048370576448,0.62053781347563,"*"
"Trices",0.0685731360862503,0.029916559998574,0.0617619626895289,0.466853160925972,"ns"
"Vacmic",0.0212857142857143,NA,NA,1,NA
"Vaculi",0.0868138676054394,0.00699465842397556,6.19994859888413e-12,0.86520196763504,"*"
"Vacvit",0.238848410757946,0.0303660117671716,0.000533599523746542,0.925226315527192,"*"
